z,vm,na,k,cl,x
-1.2677377377377375,-0.07766832267514907,0.0169396393595563,0.1485886028554512,0.004270845736594358,0.12720091204839815
-1.2627427427427427,-0.07762281226455992,0.01691081713689035,0.1483357843800268,0.004278124821087768,0.1274752736619951
-1.2577477477477474,-0.07757702650420568,0.016881870018137023,0.14808187035972495,0.004285460465012557,0.12775079915712548
-1.2527527527527527,-0.07753096284157697,0.016852797203448983,0.14782685377856414,0.004292853326651379,0.12802749569133554
-1.2477577577577574,-0.07748461869204057,0.016823597886352945,0.1475707275624422,0.004300304074486558,0.12830537047671828
-1.2427627627627627,-0.07743799143832675,0.016794271253685284,0.14731348457857166,0.0043078133873972945,0.1285844307803458
-1.2377677677677674,-0.07739107843000663,0.01676481648552712,0.1470551176349104,0.004315381954861422,0.12886468392470105
-1.2327727727727726,-0.07734387698295933,0.01673523275513862,0.1467956194795852,0.004323010477161884,0.1291461372881143
-1.2277777777777779,-0.07729638437882877,0.016705519228892716,0.14653498280031035,0.004330699665598022,0.12942879830519888
-1.2227827827827826,-0.07724859786446998,0.016675675066208262,0.14627320022380158,0.004338450242701766,0.1297126744672884
-1.2177877877877878,-0.07720051465138426,0.016645699419482293,0.14601026431518158,0.004346262942458989,0.12999777332287712
-1.2127927927927926,-0.07715213191514347,0.016615591434021897,0.14574616757738246,0.0043541385105360115,0.1302841024780596
-1.2077977977977978,-0.07710344679480292,0.016585350247975267,0.14548090245054104,0.00436207770451149,0.13057166959697222
-1.2028028028028026,-0.07705445639230245,0.01655497499226207,0.14521446131138804,0.0043700812941138475,0.13086048240223602
-1.1978078078078078,-0.07700515777185585,0.01652446479050329,0.1449468364726327,0.004378150061464322,0.1311505486753997
-1.1928128128128126,-0.0769555479593279,0.01649381875895021,0.14467802018233974,0.004386284801325881,0.13144187625738415
-1.1878178178178178,-0.07690562394159903,0.016463036006412864,0.14440800462330197,0.004394486321358087,0.13173447304892708
-1.1828228228228226,-0.07685538266591715,0.01643211563418775,0.14413678191240592,0.004402755442378139,0.13202834701102822
-1.1778278278278278,-0.07680482103923661,0.01640105673598489,0.1438643440999923,0.004411092998628212,0.1323235061653946
-1.1728328328328326,-0.07675393592754344,0.016369858397854122,0.1435906831692094,0.0044194998380493455,0.13261995859488715
-1.1678378378378378,-0.07670272415516734,0.016338519698110923,0.14331579103536235,0.004427976822561948,0.13291771244396478
-1.1628428428428426,-0.07665118250407915,0.016307039707261224,0.14303965954525358,0.004436524828353267,0.13321677591913192
-1.1578478478478478,-0.07659930771317446,0.01627541748792581,0.14276228047651993,0.0044451447461718585,0.13351715728938238
-1.1528528528528525,-0.07654709647754222,0.016243652094764006,0.142483645536963,0.004453837481629348,0.1338188648866436
-1.1478578578578578,-0.07649454544771837,0.016211742574396455,0.1422037463638718,0.004462603955509724,0.134121907106222
-1.1428628628628625,-0.0764416512289241,0.016179687965327483,0.14192257452334212,0.004471445104086263,0.13442629240724413
-1.1378678678678678,-0.07638841038028829,0.01614748729786661,0.1416401215095874,0.00448036187944643,0.13473202931309955
-1.1328728728728725,-0.07633481941405379,0.01611513959404942,0.14135637874424534,0.004489355249824909,0.13503912641188032
-1.1278778778778777,-0.07628087479476715,0.016082643867557752,0.14107133757567727,0.0044984261999450265,0.13534759235681995
-1.122882882882883,-0.0762265729384514,0.01604999912363922,0.14078498927826252,0.004507575731368823,0.13565743586672943
-1.1178878878878877,-0.07617191021176138,0.016017204359025972,0.14049732505168575,0.004516804862856012,0.13596866572643226
-1.112892892892893,-0.07611688293112127,0.015984258561852868,0.1402083360202192,0.004526114630732095,0.1362812907871958
-1.1078978978978977,-0.07606148736184404,0.015951160711574944,0.13991801323199873,0.004535506089265892,0.13659531996716043
-1.102902902902903,-0.07600571971723186,0.015917909778884166,0.1396263476582936,0.004544980311056799,0.13691076225176538
-1.0979079079079077,-0.07594957615765777,0.01588450472562561,0.1393333301927712,0.00455453838743201,0.13722762669417118
-1.092912912912913,-0.07589305278962723,0.01585094450471278,0.1390389516507543,0.004564181428854099,0.13754592241567876
-1.0879179179179177,-0.07583614566481994,0.015817228060042512,0.1387432027684747,0.004573910565339131,0.13786565860614367
-1.082922922922923,-0.07577885077911081,0.015783354326409087,0.1384460742023197,0.004583726946885743,0.13818684452438545
-1.0779279279279277,-0.07572116407156974,0.015749322229417648,0.1381475565280726,0.004593631743915505,0.1385094894985942
-1.072932932932933,-0.07566308142343985,0.015715130685397122,0.13784764024014912,0.004603626147724829,0.13883360292672892
-1.0679379379379377,-0.07560459865709329,0.015680778601312388,0.13754631575082674,0.004613711370948891,0.13915919427691195
-1.062942942942943,-0.07554571153496437,0.01564626487467586,0.13724357338946924,0.004623888648037848,0.13948627308781703
-1.0579479479479477,-0.07548641575845919,0.015611588393458473,0.13693940340174587,0.004634159235745767,0.13981484896904983
-1.0529529529529529,-0.07542670696684128,0.015576748036000041,0.136633795948845,0.004644524413632675,0.14014493160152225
-1.0479579579579577,-0.07536658073609272,0.015541742670919047,0.136326741106683,0.00465498548458008,0.14047653073781782
-1.0429629629629629,-0.07530603257774983,0.015506571157021793,0.13601822886510712,0.004665543775320473,0.1408096562025506
-1.0379679679679676,-0.07524505793771309,0.015471232343211077,0.1357082491270945,0.00467620063698115,0.14114431789271326
-1.0329729729729729,-0.07518365219503048,0.015435725068394269,0.13539679170794597,0.004686957445642883,0.14148052577801687
-1.0279779779779776,-0.07512181066065335,0.015400048161390813,0.13508384633447457,0.004697815602913882,0.14181828990122075
-1.0229829829829828,-0.07505952857616457,0.01536420044083929,0.13476940264419032,0.004708776536519526,0.14215762037845084
-1.0179879879879876,-0.07499680111247774,0.01532818071510393,0.1344534501844802,0.004719841700908371,0.14249852739950744
-1.0129929929929928,-0.07493362336850698,0.015291987782180643,0.13413597841178407,0.0047310125778749716,0.1428410212281603
-1.007997997997998,-0.07486999036980653,0.01525562042960265,0.13381697669076645,0.004742290677200034,0.14318511220243083
-1.0030030030030028,-0.0748058970671791,0.01521907743434557,0.13349643429348457,0.004753677537308487,0.14353081073486135
-0.998008008008008,-0.07474133833525257,0.01518235756273223,0.13317434039855286,0.004765174725946018,0.1438781273127689
-0.9930130130130128,-0.0746763089710236,0.015145459570336977,0.13285068409030398,0.004776783840874718,0.14422707249848432
-0.988018018018018,-0.07461080369236801,0.015108382201889694,0.1325254543579466,0.00478850651058842,0.14457765692957525
-0.9830230230230228,-0.07454481713651628,0.015071124191179478,0.13219864009472082,0.004800344395048417,0.14492989131905132
-0.978028028028028,-0.07447834385849378,0.015033684260958023,0.13187023009705026,0.004812299186440192,0.14528378645555148
-0.9730330330330328,-0.07441137832952448,0.014996061122842713,0.13154021306369248,0.004824372609951906,0.14563935320351287
-0.968038038038038,-0.07434391493539724,0.014958253477219546,0.1312085775948871,0.004836566424575315,0.14599660250331806
